name,base,slug,type1,type2,abil1,abil2,abilh,hp,atk,def,spa,spd,spe,form_num
Paras,paras,paras,bug,grass,effectspore,dryskin,damp,35,70,55,45,55,25,0
Parasect,parasect,parasect,bug,grass,effectspore,dryskin,damp,60,95,80,60,80,30,0
Venonat,venonat,venonat,bug,poison,compoundeyes,tintedlens,runaway,60,55,50,40,55,45,0
Venomoth,venomoth,venomoth,bug,poison,compoundeyes,tintedlens,wonderskin,70,65,60,90,75,90,0
Diglett,diglett,diglett,ground,,sandveil,arenatrap,sandforce,10,55,25,35,45,95,0
Dugtrio,dugtrio,dugtrio,ground,,sandveil,arenatrap,sandforce,35,100,50,50,70,120,0
Meowth,meowth,meowth,normal,,pickup,technician,unnerve,40,45,35,40,40,90,0
Persian,persian,persian,normal,,limber,technician,unnerve,65,70,60,65,65,115,0
Psyduck,psyduck,psyduck,water,,damp,cloudnine,swiftswim,50,52,48,65,50,55,0
Golduck,golduck,golduck,water,,damp,cloudnine,swiftswim,80,82,78,95,80,85,0
Mankey,mankey,mankey,fighting,,vitalspirit,angerpoint,defiant,40,80,35,35,45,70,0
Primeape,primeape,primeape,fighting,,vitalspirit,angerpoint,defiant,65,105,60,60,70,95,0
Growlithe,growlithe,growlithe,fire,,intimidate,flashfire,justified,55,70,45,70,50,60,0
Arcanine,arcanine,arcanine,fire,,intimidate,flashfire,justified,90,110,80,100,80,95,0
Poliwag,poliwag,poliwag,water,,waterabsorb,damp,swiftswim,40,50,40,40,40,90,0
Poliwhirl,poliwhirl,poliwhirl,water,,waterabsorb,damp,swiftswim,65,65,65,50,50,90,0
Poliwrath,poliwrath,poliwrath,water,fighting,waterabsorb,damp,swiftswim,90,95,95,70,90,70,0
Abra,abra,abra,psychic,,synchronize,innerfocus,magicguard,25,20,15,105,55,90,0
Kadabra,kadabra,kadabra,psychic,,synchronize,innerfocus,magicguard,40,35,30,120,70,105,0
Alakazam,alakazam,alakazam,psychic,,synchronize,innerfocus,magicguard,55,50,45,135,95,120,0
Machop,machop,machop,fighting,,guts,noguard,steadfast,70,80,50,35,35,35,0
Machoke,machoke,machoke,fighting,,guts,noguard,steadfast,80,100,70,50,60,45,0
Machamp,machamp,machamp,fighting,,guts,noguard,steadfast,90,130,80,65,85,55,0
Bellsprout,bellsprout,bellsprout,grass,poison,chlorophyll,,gluttony,50,75,35,70,30,40,0
Weepinbell,weepinbell,weepinbell,grass,poison,chlorophyll,,gluttony,65,90,50,85,45,55,0
Victreebel,victreebel,victreebel,grass,poison,chlorophyll,,gluttony,80,105,65,100,70,70,0
Tentacool,tentacool,tentacool,water,poison,clearbody,liquidooze,raindish,40,40,35,50,100,70,0
Tentacruel,tentacruel,tentacruel,water,poison,clearbody,liquidooze,raindish,80,70,65,80,120,100,0
Geodude,geodude,geodude,rock,ground,rockhead,sturdy,sandveil,40,80,100,30,30,20,0
Graveler,graveler,graveler,rock,ground,rockhead,sturdy,sandveil,55,95,115,45,45,35,0
Golem,golem,golem,rock,ground,rockhead,sturdy,sandveil,80,120,130,55,65,45,0
Ponyta,ponyta,ponyta,fire,,runaway,flashfire,flamebody,50,85,55,65,65,90,0
Rapidash,rapidash,rapidash,fire,,runaway,flashfire,flamebody,65,100,70,80,80,105,0
Slowpoke,slowpoke,slowpoke,water,psychic,oblivious,owntempo,regenerator,90,65,65,40,40,15,0
Slowbro,slowbro,slowbro,water,psychic,oblivious,owntempo,regenerator,95,75,110,100,80,30,0
Magnemite,magnemite,magnemite,electric,steel,magnetpull,sturdy,analytic,25,35,70,95,55,45,0
Magneton,magneton,magneton,electric,steel,magnetpull,sturdy,analytic,50,60,95,120,70,70,0
Farfetch'd,farfetchd,farfetchd,normal,flying,keeneye,innerfocus,defiant,52,90,55,58,62,60,0
Doduo,doduo,doduo,normal,flying,runaway,earlybird,tangledfeet,35,85,45,35,35,75,0
Dodrio,dodrio,dodrio,normal,flying,runaway,earlybird,tangledfeet,60,110,70,60,60,110,0
Seel,seel,seel,water,,thickfat,hydration,icebody,65,45,55,45,70,45,0
Dewgong,dewgong,dewgong,water,ice,thickfat,hydration,icebody,90,70,80,70,95,70,0
Grimer,grimer,grimer,poison,,stench,stickyhold,poisontouch,80,80,50,40,50,25,0
Muk,muk,muk,poison,,stench,stickyhold,poisontouch,105,105,75,65,100,50,0
Shellder,shellder,shellder,water,,shellarmor,skilllink,overcoat,30,65,100,45,25,40,0
Cloyster,cloyster,cloyster,water,ice,shellarmor,skilllink,overcoat,50,95,180,85,45,70,0
Gastly,gastly,gastly,ghost,poison,levitate,,,30,35,30,100,35,80,0
Haunter,haunter,haunter,ghost,poison,levitate,,,45,50,45,115,55,95,0
Gengar,gengar,gengar,ghost,poison,cursedbody,,,60,65,60,130,75,110,0
Onix,onix,onix,rock,ground,rockhead,sturdy,weakarmor,35,45,160,30,45,70,0
Drowzee,drowzee,drowzee,psychic,,insomnia,forewarn,innerfocus,60,48,45,43,90,42,0
Hypno,hypno,hypno,psychic,,insomnia,forewarn,innerfocus,85,73,70,73,115,67,0
Krabby,krabby,krabby,water,,hypercutter,shellarmor,sheerforce,30,105,90,25,25,50,0
Kingler,kingler,kingler,water,,hypercutter,shellarmor,sheerforce,55,130,115,50,50,75,0
Voltorb,voltorb,voltorb,electric,,soundproof,static,aftermath,40,30,50,55,55,100,0
Electrode,electrode,electrode,electric,,soundproof,static,aftermath,60,50,70,80,80,150,0
Exeggcute,exeggcute,exeggcute,grass,psychic,chlorophyll,,harvest,60,40,80,60,45,40,0
Exeggutor,exeggutor,exeggutor,grass,psychic,chlorophyll,,harvest,95,95,85,125,75,55,0
Cubone,cubone,cubone,ground,,rockhead,lightningrod,battlearmor,50,50,95,40,50,35,0
Marowak,marowak,marowak,ground,,rockhead,lightningrod,battlearmor,60,80,110,50,80,45,0
Hitmonlee,hitmonlee,hitmonlee,fighting,,limber,reckless,unburden,50,120,53,35,110,87,0
Hitmonchan,hitmonchan,hitmonchan,fighting,,keeneye,ironfist,innerfocus,50,105,79,35,110,76,0
Lickitung,lickitung,lickitung,normal,,owntempo,oblivious,cloudnine,90,55,75,60,75,30,0
Koffing,koffing,koffing,poison,,levitate,neutralizinggas,stench,40,65,95,60,45,35,0
Weezing,weezing,weezing,poison,,levitate,neutralizinggas,stench,65,90,120,85,70,60,0
Rhyhorn,rhyhorn,rhyhorn,ground,rock,lightningrod,rockhead,reckless,80,85,95,30,30,25,0
Rhydon,rhydon,rhydon,ground,rock,lightningrod,rockhead,reckless,105,130,120,45,45,40,0
Chansey,chansey,chansey,normal,,naturalcure,serenegrace,healer,250,5,5,35,105,50,0
Tangela,tangela,tangela,grass,,chlorophyll,leafguard,regenerator,65,55,115,100,40,60,0
Kangaskhan,kangaskhan,kangaskhan,normal,,earlybird,scrappy,innerfocus,105,95,80,40,80,90,0
Horsea,horsea,horsea,water,,swiftswim,sniper,damp,30,40,70,70,25,60,0
Seadra,seadra,seadra,water,,poisonpoint,sniper,damp,55,65,95,95,45,85,0
Goldeen,goldeen,goldeen,water,,swiftswim,waterveil,lightningrod,45,67,60,35,50,63,0
Seaking,seaking,seaking,water,,swiftswim,waterveil,lightningrod,80,92,65,65,80,68,0
Staryu,staryu,staryu,water,,illuminate,naturalcure,analytic,30,45,55,70,55,85,0
Starmie,starmie,starmie,water,psychic,illuminate,naturalcure,analytic,60,75,85,100,85,115,0
Mr. Mime,mrmime,mrmime,psychic,fairy,soundproof,filter,technician,40,45,65,100,120,90,0
Scyther,scyther,scyther,bug,flying,swarm,technician,steadfast,70,110,80,55,80,105,0
Jynx,jynx,jynx,ice,psychic,oblivious,forewarn,dryskin,65,50,35,115,95,95,0
Electabuzz,electabuzz,electabuzz,electric,,static,,vitalspirit,65,83,57,95,85,105,0
Magmar,magmar,magmar,fire,,flamebody,,vitalspirit,65,95,57,100,85,93,0
Pinsir,pinsir,pinsir,bug,,hypercutter,moldbreaker,moxie,65,125,100,55,70,85,0
Tauros,tauros,tauros,normal,,intimidate,angerpoint,sheerforce,75,100,95,40,70,110,0
Magikarp,magikarp,magikarp,water,,swiftswim,,rattled,20,10,55,15,20,80,0
Gyarados,gyarados,gyarados,water,flying,intimidate,,moxie,95,125,79,60,100,81,0
Lapras,lapras,lapras,water,ice,waterabsorb,shellarmor,hydration,130,85,80,85,95,60,0
Ditto,ditto,ditto,normal,,limber,,imposter,48,48,48,48,48,48,0
Eevee,eevee,eevee,normal,,runaway,adaptability,anticipation,55,55,50,45,65,55,0
Vaporeon,vaporeon,vaporeon,water,,waterabsorb,,hydration,130,65,60,110,95,65,0
Jolteon,jolteon,jolteon,electric,,voltabsorb,,quickfeet,65,65,60,110,95,130,0
Flareon,flareon,flareon,fire,,flashfire,,guts,65,130,60,95,110,65,0
Porygon,porygon,porygon,normal,,trace,download,analytic,65,60,70,85,75,40,0
Omanyte,omanyte,omanyte,rock,water,swiftswim,shellarmor,weakarmor,35,40,100,90,55,35,0
Omastar,omastar,omastar,rock,water,swiftswim,shellarmor,weakarmor,70,60,125,115,70,55,0
Kabuto,kabuto,kabuto,rock,water,swiftswim,battlearmor,weakarmor,30,80,90,55,45,55,0
Kabutops,kabutops,kabutops,rock,water,swiftswim,battlearmor,weakarmor,60,115,105,65,70,80,0
Aerodactyl,aerodactyl,aerodactyl,rock,flying,rockhead,pressure,unnerve,80,105,65,60,75,130,0
Snorlax,snorlax,snorlax,normal,,immunity,thickfat,gluttony,160,110,65,65,110,30,0
Articuno,articuno,articuno,ice,flying,pressure,,snowcloak,90,85,100,95,125,85,0
Zapdos,zapdos,zapdos,electric,flying,pressure,,static,90,90,85,125,90,100,0
Moltres,moltres,moltres,fire,flying,pressure,,flamebody,90,100,90,125,85,90,0
Dratini,dratini,dratini,dragon,,shedskin,,marvelscale,41,64,45,50,50,50,0
Dragonair,dragonair,dragonair,dragon,,shedskin,,marvelscale,61,84,65,70,70,70,0
Dragonite,dragonite,dragonite,dragon,flying,innerfocus,,multiscale,91,134,95,100,100,80,0
Mewtwo,mewtwo,mewtwo,psychic,,pressure,,unnerve,106,110,90,154,90,130,0
Mew,mew,mew,psychic,,synchronize,,,100,100,100,100,100,100,0
Chikorita,chikorita,chikorita,grass,,overgrow,,leafguard,45,49,65,49,65,45,0
Bayleef,bayleef,bayleef,grass,,overgrow,,leafguard,60,62,80,63,80,60,0
Meganium,meganium,meganium,grass,,overgrow,,leafguard,80,82,100,83,100,80,0
Cyndaquil,cyndaquil,cyndaquil,fire,,blaze,,flashfire,39,52,43,60,50,65,0
Quilava,quilava,quilava,fire,,blaze,,flashfire,58,64,58,80,65,80,0
Typhlosion,typhlosion,typhlosion,fire,,blaze,,flashfire,78,84,78,109,85,100,0
Totodile,totodile,totodile,water,,torrent,,sheerforce,50,65,64,44,48,43,0
Croconaw,croconaw,croconaw,water,,torrent,,sheerforce,65,80,80,59,63,58,0
Feraligatr,feraligatr,feraligatr,water,,torrent,,sheerforce,85,105,100,79,83,78,0
Sentret,sentret,sentret,normal,,runaway,keeneye,frisk,35,46,34,35,45,20,0
Furret,furret,furret,normal,,runaway,keeneye,frisk,85,76,64,45,55,90,0
Hoothoot,hoothoot,hoothoot,normal,flying,insomnia,keeneye,tintedlens,60,30,30,36,56,50,0
Noctowl,noctowl,noctowl,normal,flying,insomnia,keeneye,tintedlens,100,50,50,86,96,70,0
Ledyba,ledyba,ledyba,bug,flying,swarm,earlybird,rattled,40,20,30,40,80,55,0
Ledian,ledian,ledian,bug,flying,swarm,earlybird,ironfist,55,35,50,55,110,85,0
Spinarak,spinarak,spinarak,bug,poison,swarm,insomnia,sniper,40,60,40,40,40,30,0
Ariados,ariados,ariados,bug,poison,swarm,insomnia,sniper,70,90,70,60,70,40,0
Crobat,crobat,crobat,poison,flying,innerfocus,,infiltrator,85,90,80,70,80,130,0
Chinchou,chinchou,chinchou,water,electric,voltabsorb,illuminate,waterabsorb,75,38,38,56,56,67,0
Lanturn,lanturn,lanturn,water,electric,voltabsorb,illuminate,waterabsorb,125,58,58,76,76,67,0
Pichu,pichu,pichu,electric,,static,,lightningrod,20,40,15,35,35,60,0
Cleffa,cleffa,cleffa,fairy,,cutecharm,magicguard,friendguard,50,25,28,45,55,15,0
Igglybuff,igglybuff,igglybuff,normal,fairy,cutecharm,competitive,friendguard,90,30,15,40,20,15,0
Togepi,togepi,togepi,fairy,,hustle,serenegrace,superluck,35,20,65,40,65,20,0
Togetic,togetic,togetic,fairy,flying,hustle,serenegrace,superluck,55,40,85,80,105,40,0
Natu,natu,natu,psychic,flying,synchronize,earlybird,magicbounce,40,50,45,70,45,70,0
Xatu,xatu,xatu,psychic,flying,synchronize,earlybird,magicbounce,65,75,70,95,70,95,0
Mareep,mareep,mareep,electric,,static,,plus,55,40,40,65,45,35,0
Flaaffy,flaaffy,flaaffy,electric,,static,,plus,70,55,55,80,60,45,0
Ampharos,ampharos,ampharos,electric,,static,,plus,90,75,85,115,90,55,0
Bellossom,bellossom,bellossom,grass,,chlorophyll,,healer,75,80,95,90,100,50,0
Marill,marill,marill,water,fairy,thickfat,hugepower,sapsipper,70,20,50,20,50,40,0
Azumarill,azumarill,azumarill,water,fairy,thickfat,hugepower,sapsipper,100,50,80,60,80,50,0
Sudowoodo,sudowoodo,sudowoodo,rock,,sturdy,rockhead,rattled,70,100,115,30,65,30,0
Politoed,politoed,politoed,water,,waterabsorb,damp,drizzle,90,75,75,90,100,70,0
Hoppip,hoppip,hoppip,grass,flying,chlorophyll,leafguard,infiltrator,35,35,40,35,55,50,0
Skiploom,skiploom,skiploom,grass,flying,chlorophyll,leafguard,infiltrator,55,45,50,45,65,80,0
Jumpluff,jumpluff,jumpluff,grass,flying,chlorophyll,leafguard,infiltrator,75,55,70,55,95,110,0
Aipom,aipom,aipom,normal,,runaway,pickup,skilllink,55,70,55,40,55,85,0
Sunkern,sunkern,sunkern,grass,,chlorophyll,solarpower,earlybird,30,30,30,30,30,30,0
Sunflora,sunflora,sunflora,grass,,chlorophyll,solarpower,earlybird,75,75,55,105,85,30,0
Yanma,yanma,yanma,bug,flying,speedboost,compoundeyes,frisk,65,65,45,75,45,95,0
Wooper,wooper,wooper,water,ground,damp,waterabsorb,unaware,55,45,45,25,25,15,0
Quagsire,quagsire,quagsire,water,ground,damp,waterabsorb,unaware,95,85,85,65,65,35,0
Espeon,espeon,espeon,psychic,,synchronize,,magicbounce,65,65,60,130,95,110,0
Umbreon,umbreon,umbreon,dark,,synchronize,,innerfocus,95,65,110,60,130,65,0
Murkrow,murkrow,murkrow,dark,flying,insomnia,superluck,prankster,60,85,42,85,42,91,0
Slowking,slowking,slowking,water,psychic,oblivious,owntempo,regenerator,95,75,80,100,110,30,0
Misdreavus,misdreavus,misdreavus,ghost,,levitate,,,60,60,60,85,85,85,0
Unown,unown,unown,psychic,,levitate,,,48,72,48,72,48,48,0
Wobbuffet,wobbuffet,wobbuffet,psychic,,shadowtag,,telepathy,190,33,58,33,58,33,0
Girafarig,girafarig,girafarig,normal,psychic,innerfocus,earlybird,sapsipper,70,80,65,90,65,85,0
Pineco,pineco,pineco,bug,,sturdy,,overcoat,50,65,90,35,35,15,0
Forretress,forretress,forretress,bug,steel,sturdy,,overcoat,75,90,140,60,60,40,0
Dunsparce,dunsparce,dunsparce,normal,,serenegrace,runaway,rattled,100,70,70,65,65,45,0
Gligar,gligar,gligar,ground,flying,hypercutter,sandveil,immunity,65,75,105,35,65,85,0
Steelix,steelix,steelix,steel,ground,rockhead,sturdy,sheerforce,75,85,200,55,65,30,0
Snubbull,snubbull,snubbull,fairy,,intimidate,runaway,rattled,60,80,50,40,40,30,0
Granbull,granbull,granbull,fairy,,intimidate,quickfeet,rattled,90,120,75,60,60,45,0
Qwilfish,qwilfish,qwilfish,water,poison,poisonpoint,swiftswim,intimidate,65,95,85,55,55,85,0
Scizor,scizor,scizor,bug,steel,swarm,technician,lightmetal,70,130,100,55,80,65,0
Shuckle,shuckle,shuckle,bug,rock,sturdy,gluttony,contrary,20,10,230,10,230,5,0
Heracross,heracross,heracross,bug,fighting,swarm,guts,moxie,80,125,75,40,95,85,0
Sneasel,sneasel,sneasel,dark,ice,innerfocus,keeneye,pickpocket,55,95,55,35,75,115,0
Teddiursa,teddiursa,teddiursa,normal,,pickup,quickfeet,honeygather,60,80,50,50,50,40,0
Ursaring,ursaring,ursaring,normal,,guts,quickfeet,unnerve,90,130,75,75,75,55,0
Slugma,slugma,slugma,fire,,magmaarmor,flamebody,weakarmor,40,40,40,70,40,20,0
Magcargo,magcargo,magcargo,fire,rock,magmaarmor,flamebody,weakarmor,60,50,120,90,80,30,0
Swinub,swinub,swinub,ice,ground,oblivious,snowcloak,thickfat,50,50,40,30,30,50,0
Piloswine,piloswine,piloswine,ice,ground,oblivious,snowcloak,thickfat,100,100,80,60,60,50,0
Corsola,corsola,corsola,water,rock,hustle,naturalcure,regenerator,65,55,95,65,95,35,0
Remoraid,remoraid,remoraid,water,,hustle,sniper,moody,35,65,35,65,35,65,0
Octillery,octillery,octillery,water,,suctioncups,sniper,moody,75,105,75,105,75,45,0
Delibird,delibird,delibird,ice,flying,vitalspirit,hustle,insomnia,45,55,45,65,45,75,0
Mantine,mantine,mantine,water,flying,swiftswim,waterabsorb,waterveil,85,40,70,80,140,70,0
Skarmory,skarmory,skarmory,steel,flying,keeneye,sturdy,weakarmor,65,80,140,40,70,70,0
Houndour,houndour,houndour,dark,fire,earlybird,flashfire,unnerve,45,60,30,80,50,65,0
Houndoom,houndoom,houndoom,dark,fire,earlybird,flashfire,unnerve,75,90,50,110,80,95,0
Kingdra,kingdra,kingdra,water,dragon,swiftswim,sniper,damp,75,95,95,95,95,85,0
Phanpy,phanpy,phanpy,ground,,pickup,,sandveil,90,60,60,40,40,40,0
Donphan,donphan,donphan,ground,,sturdy,,sandveil,90,120,120,60,60,50,0
Porygon2,porygon2,porygon2,normal,,trace,download,analytic,85,80,90,105,95,60,0
Stantler,stantler,stantler,normal,,intimidate,frisk,sapsipper,73,95,62,85,65,85,0
Smeargle,smeargle,smeargle,normal,,owntempo,technician,moody,55,20,35,20,45,75,0
Tyrogue,tyrogue,tyrogue,fighting,,guts,steadfast,vitalspirit,35,35,35,35,35,35,0
Hitmontop,hitmontop,hitmontop,fighting,,intimidate,technician,steadfast,50,95,95,35,110,70,0
Smoochum,smoochum,smoochum,ice,psychic,oblivious,forewarn,hydration,45,30,15,85,65,65,0
Elekid,elekid,elekid,electric,,static,,vitalspirit,45,63,37,65,55,95,0
Magby,magby,magby,fire,,static,,vitalspirit,45,75,37,70,55,83,0
Miltank,miltank,miltank,normal,,thickfat,scrappy,sapsipper,95,80,105,40,70,100,0
Blissey,blissey,blissey,normal,,naturalcure,serenegrace,healer,255,10,10,75,135,55,0
Raikou,raikou,raikou,electric,,pressure,,innerfocus,90,85,75,115,100,115,0
Entei,entei,entei,fire,,pressure,,innerfocus,115,115,85,90,75,100,0
Suicune,suicune,suicune,water,,pressure,,innerfocus,100,75,115,90,115,85,0
Larvitar,larvitar,larvitar,rock,ground,guts,,sandveil,50,64,50,45,50,41,0
Pupitar,pupitar,pupitar,rock,ground,shedskin,,,70,84,70,65,70,51,0
Tyranitar,tyranitar,tyranitar,rock,dark,sandstream,,unnerve,100,134,110,95,100,61,0
Lugia,lugia,lugia,psychic,flying,pressure,,multiscale,106,90,130,90,154,110,0
Ho-oh,hooh,hooh,fire,flying,pressure,,regenerator,106,130,90,110,154,90,0
Celebi,celebi,celebi,psychic,grass,naturalcure,,,100,100,100,100,100,100,0
Treecko,treecko,treecko,grass,,overgrow,,unburden,40,45,35,65,55,70,0
Grovyle,grovyle,grovyle,grass,,overgrow,,unburden,50,65,45,85,65,95,0
Sceptile,sceptile,sceptile,grass,,overgrow,,unburden,70,85,65,105,85,120,0
Torchic,torchic,torchic,fire,,blaze,,speedboost,45,60,40,70,50,45,0
Combusken,combusken,combusken,fire,fighting,blaze,,speedboost,60,85,60,85,60,55,0
Blaziken,blaziken,blaziken,fire,fighting,blaze,,speedboost,80,120,70,110,70,80,0
Mudkip,mudkip,mudkip,water,,torrent,,damp,50,70,50,50,50,40,0
Marshtomp,marshtomp,marshtomp,water,ground,torrent,,damp,70,85,70,60,70,50,0
Swampert,swampert,swampert,water,ground,torrent,,damp,100,110,90,85,90,60,0
Poochyena,poochyena,poochyena,dark,,runaway,quickfeet,rattled,35,55,35,30,30,35,0
Mightyena,mightyena,mightyena,dark,,intimidate,quickfeet,moxie,70,90,70,60,60,70,0
Zigzagoon,zigzagoon,zigzagoon,normal,,pickup,gluttony,quickfeet,38,30,41,30,41,60,0
Linoone,linoone,linoone,normal,,pickup,gluttony,quickfeet,78,70,61,50,61,100,0
Wurmple,wurmple,wurmple,bug,,shielddust,,runaway,45,45,35,20,30,20,0
Silcoon,silcoon,silcoon,bug,,shedskin,,,50,35,55,25,25,15,0
Beautifly,beautifly,beautifly,bug,flying,swarm,,rivalry,60,70,50,100,50,65,0
Cascoon,cascoon,cascoon,bug,,shedskin,,,50,35,55,25,25,15,0
Dustox,dustox,dustox,bug,poison,shielddust,,compoundeyes,60,50,70,50,90,65,0
Lotad,lotad,lotad,water,grass,swiftswim,raindish,owntempo,40,30,30,40,50,30,0
Lombre,lombre,lombre,water,grass,swiftswim,raindish,owntempo,60,50,50,60,70,50,0
Ludicolo,ludicolo,ludicolo,water,grass,swiftswim,raindish,owntempo,80,70,70,90,100,70,0
Seedot,seedot,seedot,grass,,chlorophyll,earlybird,pickpocket,40,40,50,30,30,30,0
Nuzleaf,nuzleaf,nuzleaf,grass,dark,chlorophyll,earlybird,pickpocket,70,70,40,60,40,60,0
Shiftry,shiftry,shiftry,grass,dark,chlorophyll,windrider,pickpocket,90,100,60,90,60,80,0
Taillow,taillow,taillow,normal,flying,guts,,scrappy,40,55,30,30,30,85,0
Swellow,swellow,swellow,normal,flying,guts,,scrappy,60,85,60,75,50,125,0
Wingull,wingull,wingull,water,flying,keeneye,hydration,raindish,40,30,30,55,30,85,0
Pelipper,pelipper,pelipper,water,flying,keeneye,drizzle,raindish,60,50,100,95,70,65,0
Ralts,ralts,ralts,psychic,fairy,synchronize,trace,telepathy,28,25,25,45,35,40,0
Kirlia,kirlia,kirlia,psychic,fairy,synchronize,trace,telepathy,38,35,35,65,55,50,0
Gardevoir,gardevoir,gardevoir,psychic,fairy,synchronize,trace,telepathy,68,65,65,125,115,80,0
Surskit,surskit,surskit,bug,water,swiftswim,,raindish,40,30,32,50,52,65,0
Masquerain,masquerain,masquerain,bug,flying,intimidate,,unnerve,70,60,62,100,82,80,0
Shroomish,shroomish,shroomish,grass,,effectspore,poisonheal,quickfeet,60,40,60,40,60,35,0
Breloom,breloom,breloom,grass,fighting,effectspore,poisonheal,technician,60,130,80,60,60,70,0
Slakoth,slakoth,slakoth,normal,,truant,,,60,60,60,35,35,30,0
Vigoroth,vigoroth,vigoroth,normal,,vitalspirit,,,80,80,80,55,55,90,0
Slaking,slaking,slaking,normal,,truant,,,150,160,100,95,65,100,0
Nincada,nincada,nincada,bug,ground,compoundeyes,,runaway,31,45,90,30,30,40,0
Ninjask,ninjask,ninjask,bug,flying,speedboost,,infiltrator,61,90,45,50,50,160,0
Shedinja,shedinja,shedinja,bug,ghost,wonderguard,,,1,90,45,30,30,40,0
Whismur,whismur,whismur,normal,,soundproof,,rattled,64,51,23,51,23,28,0
Loudred,loudred,loudred,normal,,soundproof,,scrappy,84,71,43,71,43,48,0
